Node,TAZ12,County,Region,TAZCentroid
415,415,El Dorado,SACOG/TRPA,1
416,416,El Dorado,SACOG/TRPA,1
417,417,El Dorado,SACOG/TRPA,1
418,418,El Dorado,SACOG/TRPA,1
419,419,El Dorado,SACOG/TRPA,1
420,420,El Dorado,SACOG/TRPA,1
421,421,El Dorado,SACOG/TRPA,1
422,422,El Dorado,SACOG/TRPA,1
423,423,El Dorado,SACOG/TRPA,1
424,424,El Dorado,SACOG/TRPA,1
425,425,El Dorado,SACOG/TRPA,1
426,426,El Dorado,SACOG/TRPA,1
427,427,Placer,SACOG/TRPA,1
428,428,Placer,SACOG/TRPA,1
429,429,Placer,SACOG/TRPA,1
430,430,Placer,SACOG/TRPA,1
431,431,Placer,SACOG/TRPA,1
432,432,Placer,SACOG/TRPA,1
433,433,Placer,SACOG/TRPA,1
434,434,Placer,SACOG/TRPA,1
435,435,Placer,SACOG/TRPA,1
436,436,Placer,SACOG/TRPA,1
437,437,Placer,SACOG/TRPA,1
438,438,Placer,SACOG/TRPA,1
439,439,Placer,SACOG/TRPA,1
440,440,Placer,SACOG/TRPA,1
441,441,Placer,SACOG/TRPA,1
442,442,Placer,SACOG/TRPA,1
443,443,Placer,SACOG/TRPA,1
444,444,Placer,SACOG/TRPA,1
445,445,Placer,SACOG/TRPA,1
446,446,Placer,SACOG/TRPA,1
447,447,Placer,SACOG/TRPA,1
448,448,Placer,SACOG/TRPA,1
449,449,Placer,SACOG/TRPA,1
450,450,Placer,SACOG/TRPA,1
451,451,Placer,SACOG/TRPA,1
452,452,Placer,SACOG/TRPA,1
453,453,Placer,SACOG/TRPA,1
454,454,Placer,SACOG/TRPA,1
455,455,Placer,SACOG/TRPA,1
456,456,Placer,SACOG/TRPA,1
457,457,Placer,SACOG/TRPA,1
458,458,Placer,SACOG/TRPA,1
459,459,Placer,SACOG/TRPA,1
460,460,Placer,SACOG/TRPA,1
461,461,Placer,SACOG/TRPA,1
462,462,Placer,SACOG/TRPA,1
463,463,Placer,SACOG/TRPA,1
464,464,Placer,SACOG/TRPA,1
465,465,Placer,SACOG/TRPA,1
466,466,Placer,SACOG/TRPA,1
467,467,Placer,SACOG/TRPA,1
468,468,Placer,SACOG/TRPA,1
469,469,Placer,SACOG/TRPA,1
470,470,El Dorado,SACOG/TRPA,1
471,471,Placer,SACOG/TRPA,1
484,1416,Alameda,MTC,0
485,2105,San Joaquin,San Joaquin Valley,0
486,1237,San Mateo,MTC,0
487,1686,Alameda,MTC,0
488,2262,Stanislaus,San Joaquin Valley,0
489,3018,Mariposa,Rest of State,0
490,1895,Santa Clara,MTC,0
491,1735,Santa Clara,MTC,0
492,1273,San Mateo,MTC,0
493,2310,Merced,San Joaquin Valley,0
494,1908,Santa Clara,MTC,0
495,3013,Inyo,Rest of State,0
496,3121,Santa Cruz,Central Coast,0
500,500,Sacramento,SACOG/TRPA,1
501,501,Sacramento,SACOG/TRPA,1
502,502,Sacramento,SACOG/TRPA,1
503,503,Sacramento,SACOG/TRPA,1
504,504,Sacramento,SACOG/TRPA,1
505,505,Sacramento,SACOG/TRPA,1
506,506,Sacramento,SACOG/TRPA,1
507,507,Sacramento,SACOG/TRPA,1
508,508,Sacramento,SACOG/TRPA,1
509,509,Sacramento,SACOG/TRPA,1
510,510,Sacramento,SACOG/TRPA,1
511,511,Sacramento,SACOG/TRPA,1
512,512,Sacramento,SACOG/TRPA,1
513,513,Sacramento,SACOG/TRPA,1
514,514,Sacramento,SACOG/TRPA,1
515,515,Sacramento,SACOG/TRPA,1
516,516,Sacramento,SACOG/TRPA,1
517,517,Sacramento,SACOG/TRPA,1
518,518,Sacramento,SACOG/TRPA,1
519,519,Sacramento,SACOG/TRPA,1
520,520,Sacramento,SACOG/TRPA,1
521,521,Sacramento,SACOG/TRPA,1
522,522,Sacramento,SACOG/TRPA,1
523,523,Sacramento,SACOG/TRPA,1
524,524,Sacramento,SACOG/TRPA,1
525,525,Sacramento,SACOG/TRPA,1
526,526,Sacramento,SACOG/TRPA,1
527,527,Sacramento,SACOG/TRPA,1
528,528,Sacramento,SACOG/TRPA,1
529,529,Sacramento,SACOG/TRPA,1
530,530,Sacramento,SACOG/TRPA,1
531,531,Sacramento,SACOG/TRPA,1
532,532,Sacramento,SACOG/TRPA,1
533,533,Sacramento,SACOG/TRPA,1
534,534,Sacramento,SACOG/TRPA,1
535,535,Sacramento,SACOG/TRPA,1
536,536,Sacramento,SACOG/TRPA,1
537,537,Sacramento,SACOG/TRPA,1
538,538,Sacramento,SACOG/TRPA,1
539,539,Sacramento,SACOG/TRPA,1
540,540,Sacramento,SACOG/TRPA,1
541,541,Sacramento,SACOG/TRPA,1
542,542,Sacramento,SACOG/TRPA,1
543,543,Sacramento,SACOG/TRPA,1
544,544,Sacramento,SACOG/TRPA,1
545,545,Sacramento,SACOG/TRPA,1
546,546,Sacramento,SACOG/TRPA,1
562,2563,Madera,San Joaquin Valley,0
563,2470,Fresno,San Joaquin Valley,0
564,3249,Monterey,Central Coast,0
565,2522,Fresno,San Joaquin Valley,0
566,2625,Kings,San Joaquin Valley,0
567,2747,Tulare,San Joaquin Valley,0
568,3331,San Luis Obispo,Central Coast,0
569,2912,Kern,San Joaquin Valley,0
570,5160,San Bernardino,SCAG,0
571,3655,Los Angeles,SCAG,0
572,3361,Santa Barbara,Central Coast,0
573,3610,Los Angeles,SCAG,0
574,3856,Los Angeles,SCAG,0
575,3714,Los Angeles,SCAG,0
600,600,Sacramento,SACOG/TRPA,1
601,601,Sacramento,SACOG/TRPA,1
602,602,Sacramento,SACOG/TRPA,1
